beta,energy,magnet
0.10000,-0.15625,-0.01562
0.10000,0.07812,0.03125
0.10000,-0.32812,-0.23438
0.10000,-0.26562,-0.17188
0.10000,-0.04688,0.18750
0.10000,-0.26562,0.09375
0.10000,-0.20312,-0.07812
0.10000,-0.18750,0.00000
0.10000,0.01562,-0.15625
0.10000,-0.43750,-0.18750
0.10000,-0.28125,-0.23438
0.10000,-0.21875,0.10938
0.10000,-0.31250,0.01562
0.10000,-0.17188,-0.17188
0.10000,-0.37500,0.01562
0.10000,-0.32812,0.04688
0.10000,-0.29688,0.04688
0.10000,-0.18750,-0.09375
0.10000,-0.06250,0.00000
0.10000,-0.03125,0.09375
0.10000,-0.15625,0.03125
0.10000,-0.14062,0.03125
0.10000,-0.07812,-0.07812
0.10000,-0.06250,0.06250
0.10000,-0.15625,-0.14062
0.10000,-0.14062,-0.01562
0.10000,-0.03125,0.06250
0.10000,-0.10938,0.17188
0.10000,-0.28125,-0.17188
0.10000,-0.12500,-0.10938
0.10000,-0.40625,0.07812
0.10000,-0.26562,0.06250
0.10000,-0.29688,0.09375
0.10000,-0.26562,0.12500
0.10000,-0.06250,-0.07812
0.10000,-0.43750,0.18750
0.10000,-0.07812,-0.06250
0.10000,-0.14062,-0.04688
0.10000,-0.20312,0.17188
0.10000,-0.06250,-0.09375
0.10000,-0.23438,-0.09375
0.10000,-0.20312,-0.10938
0.10000,-0.23438,-0.20312
0.10000,-0.09375,-0.09375
0.10000,-0.14062,0.00000
0.10000,-0.37500,0.12500
0.10000,-0.25000,0.23438
0.10000,-0.10938,0.14062
0.10000,-0.25000,-0.31250
0.10000,-0.09375,0.00000
0.10000,-0.28125,-0.14062
0.10000,-0.12500,0.06250
0.10000,-0.17188,0.01562
0.10000,-0.25000,0.01562
0.10000,-0.21875,-0.20312
0.10000,-0.14062,-0.06250
0.10000,-0.12500,-0.06250
0.10000,0.10938,-0.07812
0.10000,0.03125,0.04688
0.10000,-0.26562,0.17188
0.10000,-0.43750,-0.14062
0.10000,-0.12500,-0.17188
0.10000,-0.25000,-0.07812
0.10000,-0.07812,0.03125
0.10000,-0.25000,0.00000
0.10000,-0.20312,-0.06250
0.10000,-0.21875,-0.03125
0.10000,-0.20312,0.20312
0.10000,-0.20312,0.04688
0.10000,-0.56250,-0.21875
0.10000,-0.20312,-0.06250
0.10000,-0.35938,-0.15625
0.10000,-0.25000,-0.10938
0.10000,0.04688,-0.06250
0.10000,-0.07812,-0.10938
0.10000,-0.40625,-0.28125
0.10000,-0.28125,0.10938
0.10000,-0.46875,-0.21875
0.10000,-0.10938,-0.01562
0.10000,-0.37500,0.28125
0.10000,-0.09375,0.03125
0.10000,-0.10938,0.15625
0.10000,-0.34375,0.18750
0.10000,-0.18750,0.04688
