beta,energy,magnet
0.01000,-0.03125,-0.17188
0.01000,-0.04688,0.12500
0.01000,0.12500,-0.14062
0.01000,0.12500,-0.03125
0.01000,-0.03125,0.06250
0.01000,-0.09375,0.01562
0.01000,-0.01562,-0.07812
0.01000,-0.03125,-0.03125
0.01000,-0.07812,0.09375
0.01000,0.07812,0.12500
0.01000,-0.15625,0.07812
0.01000,-0.37500,0.18750
0.01000,-0.10938,0.18750
0.01000,-0.18750,-0.07812
0.01000,0.17188,-0.07812
0.01000,-0.06250,0.00000
0.01000,0.03125,0.07812
0.01000,-0.12500,-0.03125
0.01000,-0.12500,0.00000
0.01000,-0.06250,-0.01562
0.01000,0.04688,0.03125
0.01000,-0.10938,0.09375
0.01000,0.14062,-0.03125
0.01000,-0.04688,0.01562
0.01000,-0.03125,0.03125
0.01000,-0.03125,-0.04688
0.01000,0.12500,0.03125
0.01000,0.10938,-0.03125
0.01000,0.00000,0.09375
0.01000,-0.01562,-0.06250
0.01000,-0.09375,0.04688
0.01000,-0.10938,-0.04688
0.01000,0.04688,-0.10938
0.01000,-0.35938,-0.09375
0.01000,0.04688,0.00000
0.01000,0.03125,-0.01562
0.01000,-0.01562,0.06250
0.01000,0.01562,0.00000
0.01000,-0.09375,0.06250
0.01000,-0.01562,0.06250
0.02145,-0.01562,0.00000
0.02145,-0.17188,0.23438
0.02145,-0.23438,0.01562
0.02145,-0.01562,0.06250
0.02145,-0.04688,-0.15625
0.02145,-0.26562,0.03125
0.02145,-0.15625,0.12500
0.02145,0.04688,0.04688
0.02145,0.01562,-0.09375
0.02145,-0.07812,0.04688
0.02145,0.09375,0.09375
0.02145,-0.12500,-0.04688
0.02145,-0.15625,0.03125
0.02145,0.09375,0.00000
0.02145,0.01562,-0.07812
0.02145,-0.06250,0.04688
0.02145,-0.04688,0.00000
0.02145,-0.20312,-0.07812
0.02145,-0.09375,-0.14062
0.02145,-0.21875,-0.09375
0.02145,0.00000,-0.04688
0.02145,-0.01562,0.07812
0.02145,-0.07812,0.15625
0.02145,-0.18750,0.12500
0.02145,-0.04688,0.07812
0.02145,-0.06250,0.04688
0.02145,-0.01562,-0.03125
0.02145,0.39062,0.09375
0.02145,0.17188,0.00000
0.02145,0.03125,0.15625
0.02145,-0.25000,0.10938
0.02145,0.28125,0.00000
0.02145,-0.14062,-0.10938
0.02145,-0.12500,0.01562
0.02145,-0.03125,0.00000
0.02145,-0.03125,0.03125
0.02145,-0.07812,0.01562
0.02145,-0.07812,0.17188
0.02145,0.15625,-0.01562
0.02145,0.17188,0.00000
0.03290,-0.01562,0.03125
0.03290,-0.03125,-0.10938
0.03290,-0.17188,0.01562
0.03290,-0.10938,0.10938
0.03290,0.00000,-0.03125
0.03290,-0.29688,-0.10938
0.03290,-0.23438,-0.12500
0.03290,0.03125,0.00000
0.03290,0.28125,-0.01562
0.03290,-0.06250,0.17188
0.03290,-0.18750,-0.07812
0.03290,-0.03125,0.07812
0.03290,0.01562,0.01562
0.03290,0.03125,0.04688
0.03290,-0.17188,0.03125
0.03290,-0.01562,0.01562
0.03290,-0.04688,0.01562
0.03290,-0.07812,0.18750
0.03290,-0.20312,-0.14062
