beta,energy,magnet
0.20000,-0.39062,-0.06250
0.20000,-0.45312,-0.25000
0.20000,-0.51562,-0.28125
0.20408,-0.51562,-0.09375
0.20816,-0.67188,-0.31250
0.20408,-0.45312,0.25000
0.20816,-0.57812,-0.28125
0.20816,-0.32812,-0.09375
0.21224,-0.42188,0.21875
0.20408,-0.76562,0.40625
0.21224,-0.20312,-0.06250
0.21224,-0.45312,0.15625
0.21633,-0.45312,0.34375
0.21633,-1.01562,0.50000
0.21633,-0.70312,0.40625
0.22041,-0.10938,0.00000
0.22041,-1.29688,0.59375
0.22449,-1.26562,-0.65625
0.22449,-0.42188,0.40625
0.22449,-0.70312,0.25000
0.22041,-0.73438,0.31250
0.22857,-0.32812,-0.03125
0.22857,-0.32812,0.15625
0.22857,-0.79688,-0.40625
0.23265,-0.64062,-0.37500
0.23265,-0.92188,-0.43750
0.23673,-0.67188,0.37500
0.23265,-1.14062,-0.68750
0.24082,-0.64062,0.21875
0.24082,-0.54688,0.34375
0.24082,-0.48438,-0.25000
0.23673,-0.89062,0.37500
0.23673,-0.20312,-0.06250
0.24490,-0.92188,0.34375
0.24490,-0.92188,-0.50000
0.24490,-0.35938,0.15625
0.24898,-1.04688,-0.65625
0.24898,-0.39062,-0.06250
0.24898,-0.67188,-0.18750
0.25306,-0.82812,0.53125
0.25714,-0.73438,-0.28125
0.25306,-0.64062,-0.31250
0.25714,-0.51562,-0.34375
0.25714,-0.64062,-0.03125
0.25306,-1.14062,-0.62500
0.26122,-0.85938,0.37500
0.26122,-0.73438,0.43750
0.26122,-0.79688,0.43750
0.26531,-0.73438,0.43750
0.26531,-0.95312,0.46875
0.26531,-1.14062,-0.62500
0.26939,-0.85938,-0.56250
0.26939,-0.76562,0.43750
0.27347,-0.76562,0.37500
0.26939,-0.70312,-0.28125
0.27347,-0.51562,-0.21875
0.27755,-1.23438,-0.59375
0.27347,-0.26562,-0.21875
0.27755,-1.17188,0.59375
0.28163,-0.98438,-0.37500
0.27755,-0.32812,-0.09375
0.28163,-0.95312,-0.34375
0.28571,-0.48438,-0.06250
0.28980,-0.85938,-0.46875
0.28571,-1.29688,0.71875
0.28980,-0.54688,-0.31250
0.28571,-0.79688,-0.31250
0.28163,-0.35938,-0.25000
0.28980,-0.98438,-0.59375
0.29388,-1.20312,-0.68750
0.29388,-0.92188,0.34375
0.29388,-0.39062,-0.37500
0.29796,-0.57812,-0.18750
0.29796,-0.85938,0.40625
0.29796,-0.76562,0.40625
0.30204,-0.79688,0.43750
0.30204,-0.89062,0.43750
0.30204,-0.92188,-0.43750
0.30612,-0.95312,-0.50000
0.31020,-1.10938,-0.59375
0.30612,-1.48438,-0.84375
0.31020,-0.79688,-0.25000
0.30612,-0.85938,-0.59375
0.31020,-0.95312,0.46875
0.31429,-1.20312,-0.62500
0.31429,-1.01562,-0.50000
0.31837,-1.01562,0.46875
0.31837,-1.17188,-0.59375
0.31429,-1.07812,-0.50000
0.31837,-1.26562,-0.68750
0.32245,-0.98438,-0.46875
0.32245,-0.45312,0.06250
0.32245,-1.54688,0.84375
0.32653,-0.67188,0.40625
0.32653,-0.48438,0.34375
0.32653,-1.17188,0.59375
0.33061,-1.20312,-0.53125
0.33061,-0.92188,-0.40625
0.33469,-1.14062,0.65625
0.33469,-0.85938,0.46875
0.33469,-1.17188,0.56250
0.33878,-1.04688,0.50000
0.33878,-1.60938,-0.84375
0.33878,-1.20312,0.62500
0.33061,-1.20312,0.65625
0.34286,-1.51562,0.78125
0.34286,-1.35938,-0.71875
0.34286,-1.07812,0.59375
0.34694,-1.39062,-0.71875
0.34694,-1.51562,0.78125
0.35102,-1.35938,-0.75000
0.35102,-1.39062,0.75000
0.35102,-1.26562,0.71875
0.35510,-1.42188,0.71875
0.35510,-0.89062,0.40625
0.34694,-1.29688,0.68750
0.35510,-1.04688,-0.59375
0.35918,-1.04688,-0.56250
0.35918,-1.01562,0.50000
0.35918,-1.20312,0.59375
0.36327,-1.35938,-0.68750
0.36327,-0.98438,-0.56250
0.36327,-1.07812,0.53125
0.36735,-1.17188,-0.59375
0.36735,-0.70312,-0.28125
0.37143,-0.95312,0.50000
0.37143,-1.07812,-0.53125
0.37143,-1.17188,0.56250
0.37551,-1.07812,0.50000
0.36735,-1.23438,-0.71875
0.37551,-1.70312,-0.87500
0.37551,-1.23438,-0.59375
0.37959,-1.42188,0.71875
0.37959,-0.95312,-0.43750
0.37959,-1.48438,0.78125
0.38367,-1.32812,0.68750
0.38367,-1.04688,0.43750
0.38367,-0.76562,0.28125
0.38776,-1.60938,-0.75000
0.38776,-1.42188,0.71875
0.39184,-1.60938,0.84375
0.39184,-1.70312,-0.90625
0.38776,-1.29688,0.65625
0.39184,-1.29688,-0.71875
0.39592,-1.39062,0.75000
0.39592,-1.17188,-0.62500
0.39592,-1.23438,-0.68750
0.40000,-1.54688,-0.81250
0.40000,-1.14062,-0.59375
0.40000,-1.32812,0.68750
